company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,cityid,Educ,Race,Education,Company,Gender
Amazon,L6,Software Engineer,310000,"Seattle, WA",15,3,ML / AI,160000,150000,0,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,142000,"Tempe, AZ",0,0,Full Stack,112000,4000,26000,Male,7053,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,189000,"Seattle, WA",2,0,Android,135000,6000,49000,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,252000,"Arlington, VA",4,0,Full Stack,160000,82000,10000,Male,11342,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,215000,"Seattle, WA",3,1,Web Development (Front-End),145000,40000,30000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,2.00E+05,"Seattle, WA",9,3,API Development (Back-End),144000,56000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,215000,"Los Angeles, CA",4,3,Full Stack,150000,65000,0,Male,7275,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,146000,"New York, NY",0,0,ML / AI,123000,23000,0,Male,10182,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,2.00E+05,"Austin, TX",1,1,Full Stack,144000,46000,10000,Male,10965,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,251000,"Seattle, WA",5,5,Distributed Systems (Back-End),151000,1.00E+05,0,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,161000,"Seattle, WA",1,1,Distributed Systems (Back-End),122000,4000,35000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,6,Software Engineer,340000,"Seattle, WA",8,8,Distributed Systems (Back-End),155000,185000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,202000,"Portland, OR",6,4,API Development (Back-End),142000,60000,0,Male,10522,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,112000,"Seattle, WA",0,0,Distributed Systems (Back-End),112000,0,0,Female,11527,1,Asian,Master's Degree,1,0
Amazon,L4,Software Engineer,188000,"Sunnyvale, CA",0,0,Full Stack,145000,8000,35000,Female,7472,1,Asian,Master's Degree,1,0
Amazon,L5,Software Engineer,230000,"Palo Alto, CA",5,0,Distributed Systems (Back-End),180000,50000,0,Male,7351,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,149000,"Seattle, WA",1,0,Full Stack,112000,33000,4000,Male,11527,0,Hispanic,Bachelor's Degree,1,1
